Term	Genes	P.value	Adjusted.P.value
Aryl Hydrocarbon Receptor Pathway WP2873	SLC7A5	0.2763858462398367	0.48641308339697886
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	FASN	0.2763858462398367	0.48641308339697886
Endoplasmic reticulum stress response in coronavirus infection WP4861	ERN1	0.28146281464982054	0.48641308339697886
Energy Metabolism WP1541	PRKAB2	0.28146281464982054	0.48641308339697886
Exercise-induced Circadian Regulation WP410	CLOCK	0.2865044149796206	0.48641308339697886
IL-3 signaling pathway WP286	CBL	0.2915108919386749	0.48641308339697886
Nonalcoholic fatty liver disease WP4396	ERN1;PRKAB2	0.2956925068484275	0.48641308339697886
Synaptic signaling pathways associated with autism spectrum disorder WP4539	PRKAB2	0.2964824884084789	0.48641308339697886
Vitamin B12 metabolism WP1533	MTHFR	0.2964824884084789	0.48641308339697886
Myometrial relaxation and contraction pathways WP289	ADCY9;ARRB1	0.29827786957445546	0.48641308339697886
One-carbon metabolism and related pathways WP3940	MTHFR	0.30632200343682264	0.48641308339697886
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	ERN1	0.31119039954812566	0.48641308339697886
Phosphodiesterases in neuronal function WP4222	ADCY9	0.31119039954812566	0.48641308339697886
EGF/EGFR signaling pathway WP437	MAP3K2;CBL	0.3137566555744075	0.48641308339697886
IL-4 signaling pathway WP395	CBL	0.3160248704252871	0.48641308339697886
Interferon type I signaling pathways WP585	CBL	0.3160248704252871	0.48641308339697886
Chemokine signaling pathway WP3929	ADCY9;ARRB1	0.3189010804692557	0.48641308339697886
IL-1 signaling pathway WP195	MAP3K2	0.32082565075119884	0.48641308339697886
Cardiac Hypertrophic Response WP2795	HDAC4	0.32082565075119884	0.48641308339697886
RANKL/RANK signaling pathway WP2018	CBL	0.32082565075119884	0.48641308339697886
Kit receptor signaling pathway WP304	CBL	0.3396965048073159	0.5041811281877004
MET in type 1 papillary renal cell carcinoma WP4205	CBL	0.3396965048073159	0.5041811281877004
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	CBL	0.35350715837993213	0.5096206677707227
Genotoxicity pathway WP4286	PRKAB2	0.358046673018841	0.5096206677707227
Endochondral Ossification with Skeletal Dysplasias WP4808	HDAC4	0.36255453832953627	0.5096206677707227
Endochondral Ossification WP474	HDAC4	0.36255453832953627	0.5096206677707227
Pathways affected in adenoid cystic carcinoma WP3651	MGA	0.36703097343818425	0.5096206677707227
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	CBL	0.37147619579151947	0.5096206677707227
Thyroid stimulating hormone (TSH) signaling pathway WP2032	GNA13	0.37147619579151947	0.5096206677707227
p53 transcriptional gene network WP4963	PRKAB2	0.3758904216181217	0.5096206677707227
Histone Modifications WP2369	KMT2A	0.3758904216181217	0.5096206677707227
Folate Metabolism WP176	MTHFR	0.3846267403446223	0.5164987656056356
Parkin-Ubiquitin Proteasomal System pathway WP2359	RNF19A	0.38894925803375113	0.5173758998373482
MECP2 and Associated Rett Syndrome WP3584	TET3	0.3975040611089466	0.5238137627697333
Peptide GPCRs WP24	OPRD1	0.4059399389618734	0.5262202987865107
Cytosolic DNA-sensing pathway WP4655	ADAR	0.4101137947714476	0.5262202987865107
Circadian rhythm related genes WP3594	KMT2A;CLOCK	0.41177109110513177	0.5262202987865107
Prolactin Signaling Pathway WP2037	CBL	0.41425853308725313	0.5262202987865107
DNA IR-damage and cellular response via ATR WP4016	HERC2	0.4305503241534472	0.5420321045146076
Alzheimer's disease WP2059	ERN1	0.4424731785828802	0.5520869881771384
MicroRNAs in cardiomyocyte hypertrophy WP1544	HDAC4	0.4463921219496211	0.5520869881771384
Pathways in clear cell renal cell carcinoma WP4018	FASN	0.4502837137614959	0.5520869881771384
Selenium Micronutrient Network WP15	MTHFR	0.4655803366115963	0.5558565509177682
Androgen receptor signaling pathway WP138	NR2C2	0.46933798772359536	0.5558565509177682
T-cell receptor (TCR) signaling pathway WP69	CBL	0.46933798772359536	0.5558565509177682
Amino Acid metabolism WP3925	PPM1L	0.4730694050363985	0.5558565509177682
ErbB signaling pathway WP673	CBL	0.4730694050363985	0.5558565509177682
Thyroid hormones production and their peripheral downstream signaling effects WP4746	KDM3B	0.48773635506340224	0.5683539344127249
B Cell Receptor Signaling Pathway WP23	CBL	0.49491709640151454	0.5714167141543343
Pathways Regulating Hippo Signaling WP4540	PRKAB2	0.49846989958144056	0.5714167141543343
Neural Crest Differentiation WP2064	HDAC4	0.508980114647036	0.5787596464938071
MAPK Signaling Pathway WP382	MAP3K2;ARRB1	0.5157022754672508	0.5817121667270588
Senescence and Autophagy in Cancer WP615	KMT2A	0.5226542945425956	0.5848750438929046
Gastrin signaling pathway WP4659	ARRB1	0.5520543370305138	0.6115962283436226
Wnt signaling WP428	PRICKLE2	0.5552079236027212	0.6115962283436226
Fragile X Syndrome  WP4549	GABRB2	0.5736718323621349	0.6270366539772172
VEGFA-VEGFR2 Signaling Pathway WP3888	ERN1;HDAC4;CBL	0.5854414824025893	0.6333974015176083
mRNA Processing WP411	SF3B1	0.5884755999915368	0.6333974015176083
TGF-beta Signaling Pathway WP366	WWP1	0.6055678082324125	0.646856522430077
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380	MAP3K2	0.6376659633310202	0.6760218107494275
Regulation of Actin Cytoskeleton WP51	GNA13	0.6527284998446612	0.6817867026167872
Nuclear Receptors Meta-Pathway WP2882	SLC7A5;FASN	0.6568029862854519	0.6817867026167872
Integrated breast cancer pathway WP1984	MYCBP2	0.6576098691906599	0.6817867026167872
Epithelial to mesenchymal transition in colorectal cancer WP4239	NR2C2	0.6764634103245382	0.6962141668303641
Metapathway biotransformation Phase I and II WP702	HS6ST3	0.7251161708750953	0.7355494970747368
Ciliopathies WP4803	TUB	0.7251161708750953	0.7355494970747368
GPCRs, Class A Rhodopsin-like WP455	OPRD1	0.8374896780121575	0.8434717471408157
IL-18 signaling pathway WP4754	PIGT	0.8539485487913296	0.8539485487913296
Apelin signaling pathway	HDAC4;GNA13;SLC8A3;PRKAB2;ADCY9	0.002792441882366642	0.33509302588399703
Ubiquitin mediated proteolysis	HERC2;UBE4A;WWP1;CBL	0.016959244472161274	0.48522795096995247
Spinocerebellar ataxia	ERN1;VLDLR;SPTBN2;PUM2	0.01818572849532418	0.48522795096995247
Circadian rhythm	PRKAB2;CLOCK	0.019811816927205333	0.48522795096995247
GABAergic synapse	GABRB2;ADCY9;TRAK2	0.024628041315476645	0.48522795096995247
Morphine addiction	GABRB2;ADCY9;ARRB1	0.026083338695674953	0.48522795096995247
cGMP-PKG signaling pathway	OPRD1;GNA13;SLC8A3;ADCY9	0.029981481905345508	0.48522795096995247
Endocytosis	KIF5C;WWP1;ARRB1;VPS37A;CBL	0.0323485300646635	0.48522795096995247
Parathyroid hormone synthesis, secretion and action	GNA13;ADCY9;ARRB1	0.03843278346775295	0.5124371129033727
Endocrine and other factor-regulated calcium reabsorption	SLC8A3;ADCY9	0.053165415324917586	0.637984983899011
Dopaminergic synapse	KIF5C;ARRB1;CLOCK	0.06561804318581509	0.71583319839071
Insulin signaling pathway	PRKAB2;FASN;CBL	0.07163630335116054	0.7163630335116055
Thermogenesis	PRKAB2;ADCY9;KDM3B;ARID1B	0.08033993594736996	0.7415994087449534
Oxytocin signaling pathway	PRKAB2;ADCY9;CAMK1G	0.09383994523809895	0.7493272040820628
Fatty acid biosynthesis	FASN	0.11882288723970202	0.7493272040820628
Gap junction	MAP3K2;ADCY9	0.12645726355492215	0.7493272040820628
One carbon pool by folate	MTHFR	0.13112751196800282	0.7493272040820628
Hypertrophic cardiomyopathy	SLC8A3;PRKAB2	0.13114926235707186	0.7493272040820628
GnRH signaling pathway	MAP3K2;ADCY9	0.13826117310823158	0.7493272040820628
Dilated cardiomyopathy	SLC8A3;ADCY9	0.14545583088993025	0.7493272040820628
Aldosterone synthesis and secretion	ADCY9;CAMK1G	0.15029503317326884	0.7493272040820628
Longevity regulating pathway	PRKAB2;ADCY9	0.16006772038608835	0.7493272040820628
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGT	0.1670270935971572	0.7493272040820628
Glucagon signaling pathway	PRKAB2;SIK2	0.1724420194594376	0.7493272040820628
Cholinergic synapse	ADCY9;KCNQ2	0.18748873679607275	0.7493272040820628
Citrate cycle (TCA cycle)	IDH3B	0.19013799233428016	0.7493272040820628
Sphingolipid signaling pathway	OPRD1;GNA13	0.20271063622016622	0.7493272040820628
AMPK signaling pathway	PRKAB2;FASN	0.2052618177570611	0.7493272040820628
Platelet activation	GNA13;ADCY9	0.21550062252936394	0.7493272040820628
Purine metabolism	ADCY9;CANT1	0.2283632009644398	0.7493272040820628
Relaxin signaling pathway	ADCY9;ARRB1	0.2283632009644398	0.7493272040820628
Aldosterone-regulated sodium reabsorption	SLC9A3R2	0.22906035932406685	0.7493272040820628
Calcium signaling pathway	SLC8A3;ADCY9;CAMK1G	0.2366827944113795	0.7493272040820628
Vascular smooth muscle contraction	GNA13;ADCY9	0.2386919954833755	0.7493272040820628
Nicotine addiction	GABRB2	0.24516739343862784	0.7493272040820628
Vasopressin-regulated water reabsorption	ADCY9	0.2661248183396091	0.7493272040820628
Glycosphingolipid biosynthesis	ST8SIA1	0.2712732634608439	0.7493272040820628
Phospholipase D signaling pathway	GNA13;ADCY9	0.2775645899747896	0.7493272040820628
Retrograde endocannabinoid signaling	GABRB2;ADCY9	0.2775645899747896	0.7493272040820628
Adrenergic signaling in cardiomyocytes	SLC8A3;ADCY9	0.282748289576073	0.7493272040820628
Cushing syndrome	ADCY9;KMT2A	0.2956925068484275	0.7493272040820628
Non-alcoholic fatty liver disease	ERN1;PRKAB2	0.2956925068484275	0.7493272040820628
Vibrio cholerae infection	ADCY9	0.2964824884084789	0.7493272040820628
Ovarian steroidogenesis	ADCY9	0.30141944572009727	0.7493272040820628
Glycosaminoglycan biosynthesis	HS6ST3	0.31119039954812566	0.7493272040820628
Regulation of lipolysis in adipocytes	ADCY9	0.32082565075119884	0.7493272040820628
Hedgehog signaling pathway	ARRB1	0.3255929736406137	0.7493272040820628
Pyrimidine metabolism	CANT1	0.3255929736406137	0.7493272040820628
Protein processing in endoplasmic reticulum	ERN1;SEC23B	0.3368316760169771	0.7493272040820628
Long-term depression	GNA13	0.34433229716482133	0.7493272040820628
Mineral absorption	SLC8A3	0.34433229716482133	0.7493272040820628
Cytosolic DNA-sensing pathway	ADAR	0.358046673018841	0.7493272040820628
Lysine degradation	KMT2A	0.358046673018841	0.7493272040820628
GnRH secretion	ARRB1	0.36255453832953627	0.7493272040820628
Cortisol synthesis and secretion	ADCY9	0.36703097343818425	0.7493272040820628
Adipocytokine signaling pathway	PRKAB2	0.3846267403446223	0.7493272040820628
Central carbon metabolism in cancer	SLC7A5	0.38894925803375113	0.7493272040820628
Transcriptional misregulation in cancer	CCNT2;KMT2A	0.38967735467964715	0.7493272040820628
Chemokine signaling pathway	ADCY9;ARRB1	0.38967735467964715	0.7493272040820628
Non-small cell lung cancer	KIF5C	0.3975040611089466	0.7493272040820628
p53 signaling pathway	MDM4	0.4017367625718065	0.7493272040820628
Thyroid hormone synthesis	ADCY9	0.4101137947714476	0.7493272040820628
Glioma	CAMK1G	0.4101137947714476	0.7493272040820628
Chronic myeloid leukemia	CBL	0.41425853308725313	0.7493272040820628
Gastric acid secretion	ADCY9	0.41425853308725313	0.7493272040820628
Arrhythmogenic right ventricular cardiomyopathy	SLC8A3	0.41837435561248504	0.7493272040820628
Bacterial invasion of epithelial cells	CBL	0.41837435561248504	0.7493272040820628
Rap1 signaling pathway	ADCY9;SIPA1L2	0.4334697371421336	0.7549245880855829
Lipid and atherosclerosis	ERN1;VLDLR	0.4453408340914331	0.7549245880855829
ErbB signaling pathway	CBL	0.4502837137614959	0.7549245880855829
Insulin secretion	ADCY9	0.45414814353176547	0.7549245880855829
Cardiac muscle contraction	SLC8A3	0.4579855995441643	0.7549245880855829
Human cytomegalovirus infection	GNA13;ADCY9	0.4686646673662924	0.7549245880855829
Bile secretion	ADCY9	0.46933798772359536	0.7549245880855829
Salivary secretion	ADCY9	0.48045426460138346	0.7549245880855829
Circadian entrainment	ADCY9	0.49491709640151454	0.7549245880855829
Inflammatory mediator regulation of TRP channels	ADCY9	0.49846989958144056	0.7549245880855829
Chemical carcinogenesis	ADCY9;ARRB1	0.5003261891287708	0.7549245880855829
Progesterone-mediated oocyte maturation	ADCY9	0.5055012372413341	0.7549245880855829
Melanogenesis	ADCY9	0.508980114647036	0.7549245880855829
Pancreatic secretion	ADCY9	0.5124346910952726	0.7549245880855829
Protein digestion and absorption	SLC8A3	0.515865135191815	0.7549245880855829
Parkinson disease	ERN1;KIF5C	0.5221966180073659	0.7549830621793242
Insulin resistance	PRKAB2	0.5326611875479199	0.7609445536398856
Serotonergic synapse	GABRB2	0.5488785523127815	0.7703083772518797
Glutamatergic synapse	ADCY9	0.5520543370305138	0.7703083772518797
Growth hormone synthesis, secretion and action	ADCY9	0.5676033522216748	0.7829011754781722
Oocyte meiosis	ADCY9	0.5971116875071725	0.7911860604177712
FoxO signaling pathway	PRKAB2	0.6027688662081692	0.7911860604177712
MAPK signaling pathway	MAP3K2;ARRB1	0.6124931702563662	0.7911860604177712
Autophagy	ERN1	0.6192714963196077	0.7911860604177712
Estrogen signaling pathway	ADCY9	0.6192714963196077	0.7911860604177712
Measles	ADAR	0.6246196610917834	0.7911860604177712
Apoptosis	ERN1	0.6325023605752406	0.7911860604177712
Huntington disease	ERN1;KIF5C	0.6342820301747625	0.7911860604177712
MicroRNAs in cancer	HDAC4;MDM4	0.641331041755003	0.7911860604177712
Cell adhesion molecules	NEGR1	0.6477780418303583	0.7911860604177712
Pathways of neurodegeneration	ERN1;KIF5C;SPTBN2	0.6496537596961628	0.7911860604177712
Spliceosome	SF3B1	0.6527284998446612	0.7911860604177712
mTOR signaling pathway	SLC7A5	0.6624231071733729	0.7949077286080475
Wnt signaling pathway	PRICKLE2	0.6899237524013201	0.8032319137356617
Neuroactive ligand-receptor interaction	OPRD1;GABRB2	0.6923928460623328	0.8032319137356617
Hepatocellular carcinoma	ARID1B	0.694285793193064	0.8032319137356617
Tight junction	PRKAB2	0.6964439111002003	0.8032319137356617
Influenza A	ADAR	0.702827924518704	0.8032319137356617
Pathways in cancer	GNA13;ADCY9;CBL	0.7223115456209835	0.803525894741395
Amyotrophic lateral sclerosis	ERN1;KIF5C	0.7263173961295917	0.803525894741395
Alcoholism	HDAC4	0.7309012366769446	0.803525894741395
Alzheimer disease	ERN1;KIF5C	0.7332634683950083	0.803525894741395
Neutrophil extracellular trap formation	HDAC4	0.7365654035129455	0.803525894741395
Pathogenic Escherichia coli infection	GNA13	0.7510977026974491	0.8119975164296748
Viral carcinogenesis	HDAC4	0.7614719671795476	0.8122128175802736
Proteoglycans in cancer	CBL	0.7648337365547576	0.8122128175802736
cAMP signaling pathway	ADCY9	0.7824998237043728	0.8142256499441756
Regulation of actin cytoskeleton	GNA13	0.7855672351816548	0.8142256499441756
Human T-cell leukemia virus 1 infection	ADCY9	0.7870847949460363	0.8142256499441756
Coronavirus disease	ADAR	0.8058692365915079	0.8265325503502644
Olfactory transduction	SLC8A3;ARRB1	0.8167710784795347	0.8306146560808827
Salmonella infection	KIF5C	0.8279717010697548	0.8349294464568956
Prion disease	KIF5C	0.8549849924683618	0.8549849924683618
miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)	AGO1;ADAR	9.98416556093053e-4	0.2611703923982934
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	AGO1;ADAR;PUM2	0.001073521442291801	0.2611703923982934
protein-containing complex subunit organization (GO:0043933)	SLC9A3R2;KMT2A;LIN7A;MDM4;ADD2	0.0011521531529641682	0.2611703923982934
gene silencing by miRNA (GO:0035195)	AGO1;ADAR;PUM2	0.001435057152197309	0.2611703923982934
small RNA loading onto RISC (GO:0070922)	AGO1;ADAR	0.0016959116389499574	0.2611703923982934
histone H3-K4 trimethylation (GO:0080182)	KMT2A;TET3	0.004189676146358302	0.4063695681859952
pre-miRNA processing (GO:0031054)	AGO1;ADAR	0.004189676146358302	0.4063695681859952
regulation of megakaryocyte differentiation (GO:0045652)	KMT2A;AGO1;MTURN	0.0064165814618981805	0.4063695681859952
neuromuscular process (GO:0050905)	KCNA1;MYCBP2	0.007694848609914605	0.4063695681859952
regulation of nervous system process (GO:0031644)	SLC8A3;DLGAP4	0.007694848609914605	0.4063695681859952
histone modification (GO:0016570)	HDAC4;ATXN7;EYA3;BAZ2A	0.008476849141889188	0.4063695681859952
production of small RNA involved in gene silencing by RNA (GO:0070918)	AGO1;PUM2	0.008510866989533416	0.4063695681859952
protein-containing complex assembly (GO:0065003)	SLC9A3R2;KMT2A;SH3PXD2B;LIN7A;MDM4;ADD2	0.011366737031302598	0.4063695681859952
protein ubiquitination (GO:0016567)	HERC2;RNF19A;MYCBP2;UBE4A;WWP1;ARRB1;KLHL24;CBL;ASB1	0.011700303368667807	0.4063695681859952
ubiquitin-dependent protein catabolic process (GO:0006511)	RNF19A;UBE4A;WWP1;ARRB1;VPS37A;CBL;CLOCK	0.01242991216489392	0.4063695681859952
cellular response to decreased oxygen levels (GO:0036294)	OPRD1;SLC8A3;MDM4	0.012563929858100073	0.4063695681859952
cellular response to hypoxia (GO:0071456)	OPRD1;SLC8A3;MDM4;HIF1AN	0.013596350755622686	0.4063695681859952
negative regulation of epithelial to mesenchymal transition (GO:0010719)	LDLRAD4;USF3	0.01745588055799187	0.4063695681859952
negative regulation of Notch signaling pathway (GO:0045746)	ARRB1;HIF1AN	0.018617966356661644	0.4063695681859952
peptidyl-lysine trimethylation (GO:0018023)	KMT2A;TET3	0.018617966356661644	0.4063695681859952
histone H3-K4 methylation (GO:0051568)	KMT2A;TET3	0.018617966356661644	0.4063695681859952
regulation of histone acetylation (GO:0035065)	KMT2A;ARRB1	0.022292837946294056	0.4063695681859952
protein modification by small protein conjugation (GO:0032446)	HERC2;MYCBP2;WWP1;ARRB1;KLHL24;CBL;ASB1	0.025199314275749344	0.4063695681859952
anterograde axonal transport (GO:0008089)	KIF5C;TRAK2	0.02761463167841617	0.4063695681859952
anterograde dendritic transport (GO:0098937)	KIF5C	0.03451662254205939	0.4063695681859952
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	KIF5C	0.03451662254205939	0.4063695681859952
reelin-mediated signaling pathway (GO:0038026)	VLDLR	0.03451662254205939	0.4063695681859952
chromatin maintenance (GO:0070827)	MTHFR	0.03451662254205939	0.4063695681859952
G protein-coupled opioid receptor signaling pathway (GO:0038003)	OPRD1	0.03451662254205939	0.4063695681859952
response to denervation involved in regulation of muscle adaptation (GO:0014894)	HDAC4	0.03451662254205939	0.4063695681859952
insulin metabolic process (GO:1901142)	ERN1	0.03451662254205939	0.4063695681859952
isocitrate metabolic process (GO:0006102)	IDH3B	0.03451662254205939	0.4063695681859952
vesicle tethering to Golgi (GO:0099041)	FAM91A1	0.03451662254205939	0.4063695681859952
mRNA cleavage (GO:0006379)	ERN1	0.03451662254205939	0.4063695681859952
mRNA cleavage involved in gene silencing by miRNA (GO:0035279)	AGO1	0.03451662254205939	0.4063695681859952
chromatin remodeling (GO:0006338)	HDAC4;BAZ2A;ARID1B	0.035761951925236714	0.4063695681859952
cellular component assembly (GO:0022607)	SLC9A3R2;KMT2A;LIN7A;MDM4;ADD2	0.03676424584130445	0.4063695681859952
positive regulation of receptor-mediated endocytosis (GO:0048260)	ARRB1;CBL	0.038004344688226596	0.4063695681859952
mRNA catabolic process (GO:0006402)	ERN1;AGO1	0.038004344688226596	0.4063695681859952
nervous system development (GO:0007399)	HDAC4;KCNQ2;ADAM22;WWP1;VLDLR;NR2C2;TRAK2	0.03803305939963759	0.4063695681859952
protein deacetylation (GO:0006476)	HDAC4;BAZ2A	0.039593273629563344	0.4063695681859952
attachment of GPI anchor to protein (GO:0016255)	PIGT	0.04127667689935802	0.4063695681859952
negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	CLOCK	0.04127667689935802	0.4063695681859952
cellular response to magnesium ion (GO:0071286)	KCNA1	0.04127667689935802	0.4063695681859952
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	HS6ST3	0.04127667689935802	0.4063695681859952
leucine transport (GO:0015820)	SLC7A5	0.04127667689935802	0.4063695681859952
magnesium ion homeostasis (GO:0010960)	KCNA1	0.04127667689935802	0.4063695681859952
epidermal growth factor receptor signaling pathway (GO:0007173)	GAREM1;CBL	0.04284533315298391	0.4063695681859952
histone deacetylation (GO:0016575)	HDAC4;BAZ2A	0.04284533315298391	0.4063695681859952
positive regulation of DNA repair (GO:0045739)	FAM168A;EYA3	0.044507627131930495	0.4063695681859952
negative regulation of catabolic process (GO:0009895)	HDAC4;MDM4	0.04619354713927469	0.4063695681859952
negative regulation of DNA repair (GO:0045738)	RNF169	0.04798973670836404	0.4063695681859952
