database.name	Term	Genes	P.value	Adjusted.P.value
WikiPathway_2021_Human	Cell cycle WP179	TGFB1	0.1500634132130179	0.17150104367202043
WikiPathway_2021_Human	Hippo-Merlin Signaling Dysregulation WP4541	PRKACA	0.1500634132130179	0.17150104367202043
WikiPathway_2021_Human	Adipogenesis WP236	TGFB1	0.1615390884057056	0.18287443970457237
WikiPathway_2021_Human	TGF-beta Signaling Pathway WP366	TGFB1	0.1638162499685203	0.1837191588432003
WikiPathway_2021_Human	Endoderm differentiation WP2853	TGFB1	0.17398998690252823	0.19332220766947583
WikiPathway_2021_Human	NRF2 pathway WP2884	TGFB1	0.1795904480842388	0.19771425477163906
WikiPathway_2021_Human	Calcium Regulation in the Cardiac Cell WP536	PRKACA	0.18404447217325864	0.19896699694406342
WikiPathway_2021_Human	Regulation of Actin Cytoskeleton WP51	GNA13	0.18404447217325864	0.19896699694406342
WikiPathway_2021_Human	Myometrial relaxation and contraction pathways WP289	PRKACA	0.19068187605935943	0.20430201006359938
WikiPathway_2021_Human	Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	PRKACA	0.1928827672603341	0.20483125726761145
WikiPathway_2021_Human	Epithelial to mesenchymal transition in colorectal cancer WP4239	TGFB1	0.19507789433874023	0.20534515193551603
WikiPathway_2021_Human	Chemokine signaling pathway WP3929	JAK3	0.1994509142983881	0.20812269318092672
WikiPathway_2021_Human	Vitamin D Receptor Pathway WP2877	TGFB1	0.21884798902042812	0.22639447140044291
WikiPathway_2021_Human	Ras signaling WP4223	PRKACA	0.22097506927958388	0.22664109669700908
WikiPathway_2021_Human	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	JAK3	0.3379734422987403	0.3437018057275325
WikiPathway_2021_Human	Nuclear Receptors Meta-Pathway WP2882	TGFB1	0.3523502623991687	0.35531118897395164
WikiPathway_2021_Human	PI3K-Akt signaling pathway WP4172	JAK3	0.37076417270248674	0.37076417270248674
KEGG_2021_Human	Malaria	TGFB1;VCAM1;ICAM1	4.122055222407173e-5	0.005441112893577469
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	TGFB1;PRKACA;JAK3;ICAM1	2.014203691926036e-4	0.013293744366711838
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	TGFB1;VCAM1;ICAM1	3.251243529193447e-4	0.014305471528451168
KEGG_2021_Human	Fluid shear stress and atherosclerosis	ACVR1;VCAM1;ICAM1	8.503356593185133e-4	0.024976233850770836
KEGG_2021_Human	Cell adhesion molecules	VCAM1;VSIR;ICAM1	0.0010195277888179878	0.024976233850770836
KEGG_2021_Human	African trypanosomiasis	VCAM1;ICAM1	0.0011352833568532199	0.024976233850770836
KEGG_2021_Human	Pathways in cancer	GNA13;TGFB1;PRKACA;JAK3	0.0053086112343647684	0.08497658357563125
KEGG_2021_Human	Rheumatoid arthritis	TGFB1;ICAM1	0.006961191183957296	0.08497658357563125
KEGG_2021_Human	TGF-beta signaling pathway	ACVR1;TGFB1	0.007106631219173753	0.08497658357563125
KEGG_2021_Human	Dilated cardiomyopathy	TGFB1;PRKACA	0.007401645365944533	0.08497658357563125
KEGG_2021_Human	Amoebiasis	TGFB1;PRKACA	0.00831949464007076	0.08497658357563125
KEGG_2021_Human	NF-kappa B signaling pathway	VCAM1;ICAM1	0.008636282077046035	0.08497658357563125
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	GNA13;PRKACA	0.008958439658800289	0.08497658357563125
KEGG_2021_Human	Th17 cell differentiation	TGFB1;JAK3	0.009121523170406954	0.08497658357563125
KEGG_2021_Human	TNF signaling pathway	VCAM1;ICAM1	0.009956843262073689	0.08497658357563125
KEGG_2021_Human	Leukocyte transendothelial migration	VCAM1;ICAM1	0.010300191948561363	0.08497658357563125
KEGG_2021_Human	Platelet activation	GNA13;PRKACA	0.012094755712239912	0.09391222082445108
KEGG_2021_Human	Relaxin signaling pathway	TGFB1;PRKACA	0.0130399243931604	0.09562611221650959
KEGG_2021_Human	Vascular smooth muscle contraction	GNA13;PRKACA	0.013818646080876924	0.09600322540398705
KEGG_2021_Human	Apelin signaling pathway	GNA13;PRKACA	0.01461720485208322	0.09647355202374924
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	ACVR1;JAK3	0.015851757159440767	0.09963961643077053
KEGG_2021_Human	Hepatitis B	TGFB1;JAK3	0.020044069506282285	0.11636856134224242
KEGG_2021_Human	Hippo signaling pathway	TGFB1;RASSF4	0.020276340233875575	0.11636856134224242
KEGG_2021_Human	Chemokine signaling pathway	PRKACA;JAK3	0.02749471354778106	0.15122092451279584
KEGG_2021_Human	Epstein-Barr virus infection	JAK3;ICAM1	0.030191902502496537	0.15165834067344455
KEGG_2021_Human	Viral carcinogenesis	PRKACA;JAK3	0.030467263691264138	0.15165834067344455
KEGG_2021_Human	Proteoglycans in cancer	TGFB1;PRKACA	0.03102102422865911	0.15165834067344455
KEGG_2021_Human	Lipid and atherosclerosis	VCAM1;ICAM1	0.03384980987183882	0.1595776751100973
KEGG_2021_Human	Human cytomegalovirus infection	GNA13;PRKACA	0.03677639018769961	0.1673959829233224
KEGG_2021_Human	Endocytosis	ACAP2;EHD4	0.04514395011100822	0.19863338048843618
KEGG_2021_Human	Primary immunodeficiency	JAK3	0.05008425072827236	0.2132619708429662
KEGG_2021_Human	Vasopressin-regulated water reabsorption	PRKACA	0.05776813633613761	0.2253883392319658
KEGG_2021_Human	Glycosphingolipid biosynthesis	ST3GAL6	0.05904295112171703	0.2253883392319658
KEGG_2021_Human	MAPK signaling pathway	TGFB1;PRKACA	0.05940536638970068	0.2253883392319658
KEGG_2021_Human	Cytokine-cytokine receptor interaction	ACVR1;TGFB1	0.05976205964483942	0.2253883392319658
KEGG_2021_Human	Intestinal immune network for IgA production	TGFB1	0.06285743806698686	0.225608417520958
KEGG_2021_Human	Cocaine addiction	PRKACA	0.06412562148920224	0.225608417520958
KEGG_2021_Human	Vibrio cholerae infection	PRKACA	0.06539215225886762	0.225608417520958
KEGG_2021_Human	Ovarian steroidogenesis	PRKACA	0.06665703244937396	0.225608417520958
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	PRKACA	0.06918184933137322	0.22708394172757007
KEGG_2021_Human	Regulation of lipolysis in adipocytes	PRKACA	0.07170008865913224	0.22708394172757007
KEGG_2021_Human	Hedgehog signaling pathway	PRKACA	0.07295674689077883	0.22708394172757007
KEGG_2021_Human	Viral myocarditis	ICAM1	0.07796701814188411	0.22708394172757007
KEGG_2021_Human	Long-term depression	GNA13	0.07796701814188411	0.22708394172757007
KEGG_2021_Human	Cortisol synthesis and secretion	PRKACA	0.08419319699589127	0.22708394172757007
KEGG_2021_Human	Inflammatory bowel disease	TGFB1	0.08419319699589127	0.22708394172757007
KEGG_2021_Human	Long-term potentiation	PRKACA	0.08667231548375737	0.22708394172757007
KEGG_2021_Human	Amphetamine addiction	PRKACA	0.08914497089070929	0.22708394172757007
KEGG_2021_Human	Renal cell carcinoma	TGFB1	0.08914497089070929	0.22708394172757007
KEGG_2021_Human	Renin secretion	PRKACA	0.08914497089070929	0.22708394172757007
KEGG_2021_Human	Non-small cell lung cancer	JAK3	0.09284187114106916	0.22708394172757007
KEGG_2021_Human	Thyroid hormone synthesis	PRKACA	0.09652432039763756	0.22708394172757007
KEGG_2021_Human	Chronic myeloid leukemia	TGFB1	0.09774860155754135	0.22708394172757007
KEGG_2021_Human	Gastric acid secretion	PRKACA	0.09774860155754135	0.22708394172757007
KEGG_2021_Human	Pancreatic cancer	TGFB1	0.09774860155754135	0.22708394172757007
KEGG_2021_Human	Leishmaniasis	TGFB1	0.09897128507986962	0.22708394172757007
KEGG_2021_Human	Taste transduction	PRKACA	0.1099038737594078	0.22708394172757007
KEGG_2021_Human	Colorectal cancer	TGFB1	0.1099038737594078	0.22708394172757007
KEGG_2021_Human	Insulin secretion	PRKACA	0.1099038737594078	0.22708394172757007
KEGG_2021_Human	Gap junction	PRKACA	0.11231593236202139	0.22708394172757007
KEGG_2021_Human	GABAergic synapse	PRKACA	0.11351960008435957	0.22708394172757007
KEGG_2021_Human	Bile secretion	PRKACA	0.11472169604682494	0.22708394172757007
KEGG_2021_Human	Hypertrophic cardiomyopathy	TGFB1	0.11472169604682494	0.22708394172757007
KEGG_2021_Human	Morphine addiction	PRKACA	0.11592222223753673	0.22708394172757007
KEGG_2021_Human	Th1 and Th2 cell differentiation	JAK3	0.11712118060654145	0.22708394172757007
KEGG_2021_Human	Salivary secretion	PRKACA	0.11831857315266643	0.22708394172757007
KEGG_2021_Human	GnRH signaling pathway	PRKACA	0.11831857315266643	0.22708394172757007
KEGG_2021_Human	Staphylococcus aureus infection	ICAM1	0.12070866858040177	0.22708394172757007
KEGG_2021_Human	Circadian entrainment	PRKACA	0.12309252420037428	0.22708394172757007
KEGG_2021_Human	Aldosterone synthesis and secretion	PRKACA	0.12428211698541018	0.22708394172757007
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	PRKACA	0.12428211698541018	0.22708394172757007
KEGG_2021_Human	Progesterone-mediated oocyte maturation	PRKACA	0.12665664230282664	0.22708394172757007
KEGG_2021_Human	Melanogenesis	PRKACA	0.1278415786939404	0.22708394172757007
KEGG_2021_Human	Chagas disease	TGFB1	0.1290249668906648	0.22708394172757007
KEGG_2021_Human	Longevity regulating pathway	PRKACA	0.1290249668906648	0.22708394172757007
KEGG_2021_Human	Glucagon signaling pathway	PRKACA	0.1349187523794031	0.23433256992212118
KEGG_2021_Human	Toxoplasmosis	TGFB1	0.14077412290727195	0.23612418876309327
KEGG_2021_Human	Serotonergic synapse	PRKACA	0.1419406084517323	0.23612418876309327
KEGG_2021_Human	Cholinergic synapse	PRKACA	0.1419406084517323	0.23612418876309327
KEGG_2021_Human	Glutamatergic synapse	PRKACA	0.14310556894732926	0.23612418876309327
KEGG_2021_Human	Sphingolipid signaling pathway	GNA13	0.14890756278622894	0.23970485716807585
KEGG_2021_Human	Growth hormone synthesis, secretion and action	PRKACA	0.14890756278622894	0.23970485716807585
KEGG_2021_Human	Thyroid hormone signaling pathway	PRKACA	0.15121775194381218	0.24049088260943624
KEGG_2021_Human	Cell cycle	TGFB1	0.15467171715256808	0.24296342691960313
KEGG_2021_Human	Osteoclast differentiation	TGFB1	0.15811214564443912	0.24296342691960313
KEGG_2021_Human	Oocyte meiosis	PRKACA	0.16039826942887822	0.24296342691960313
KEGG_2021_Human	FoxO signaling pathway	TGFB1	0.16267841463048652	0.24296342691960313
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	ICAM1	0.16267841463048652	0.24296342691960313
KEGG_2021_Human	Dopaminergic synapse	PRKACA	0.1638162499685203	0.24296342691960313
KEGG_2021_Human	Autophagy	PRKACA	0.16948312893832804	0.24317144586803588
KEGG_2021_Human	Estrogen signaling pathway	PRKACA	0.16948312893832804	0.24317144586803588
KEGG_2021_Human	Insulin signaling pathway	PRKACA	0.16948312893832804	0.24317144586803588
KEGG_2021_Human	Measles	JAK3	0.1717395098007441	0.2437593042333142
KEGG_2021_Human	Phospholipase D signaling pathway	GNA13	0.18182037873406148	0.24436900621199464
KEGG_2021_Human	Retrograde endocannabinoid signaling	PRKACA	0.18182037873406148	0.24436900621199464
KEGG_2021_Human	Gastric cancer	TGFB1	0.18293315419166692	0.24436900621199464
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	PRKACA	0.18404447217325864	0.24436900621199464
KEGG_2021_Human	Spliceosome	SF3A3	0.18404447217325864	0.24436900621199464
KEGG_2021_Human	mTOR signaling pathway	CASTOR1	0.18847520618379432	0.24436900621199464
KEGG_2021_Human	Oxytocin signaling pathway	PRKACA	0.18847520618379432	0.24436900621199464
KEGG_2021_Human	Cushing syndrome	PRKACA	0.18957926437662864	0.24436900621199464
KEGG_2021_Human	Non-alcoholic fatty liver disease	TGFB1	0.18957926437662864	0.24436900621199464
KEGG_2021_Human	Cellular senescence	TGFB1	0.19068187605935943	0.24436900621199464
KEGG_2021_Human	Necroptosis	JAK3	0.19398105040680327	0.24620671782401954
KEGG_2021_Human	JAK-STAT signaling pathway	JAK3	0.19726727187724416	0.24799314178853551
KEGG_2021_Human	Wnt signaling pathway	PRKACA	0.2016288360937524	0.24811764381957352
KEGG_2021_Human	cGMP-PKG signaling pathway	GNA13	0.2027156562435052	0.24811764381957352
KEGG_2021_Human	Hepatocellular carcinoma	TGFB1	0.20380105164716802	0.24811764381957352
KEGG_2021_Human	Tight junction	PRKACA	0.20488502406313266	0.24811764381957352
KEGG_2021_Human	Influenza A	ICAM1	0.20812842146090607	0.24975410575308726
KEGG_2021_Human	Tuberculosis	TGFB1	0.2167153165450378	0.25564543850173904
KEGG_2021_Human	NOD-like receptor signaling pathway	GSDMD	0.21778235269793225	0.25564543850173904
KEGG_2021_Human	Axon guidance	FES	0.21884798902042812	0.25564543850173904
KEGG_2021_Human	Alcoholism	PRKACA	0.22309657147928277	0.25832234592338005
KEGG_2021_Human	Neutrophil extracellular trap formation	GSDMD	0.22626839660742984	0.25971676827983253
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	ICAM1	0.2304781044354811	0.26226818780589234
KEGG_2021_Human	Pathogenic Escherichia coli infection	GNA13	0.23466575200912493	0.2647511048308076
KEGG_2021_Human	Diabetic cardiomyopathy	TGFB1	0.24090610338729143	0.2694881834501904
KEGG_2021_Human	cAMP signaling pathway	PRKACA	0.25425921789021944	0.2819226967681984
KEGG_2021_Human	Regulation of actin cytoskeleton	GNA13	0.25629336069836217	0.2819226967681984
KEGG_2021_Human	Thermogenesis	PRKACA	0.27038349485053065	0.29254607639565616
KEGG_2021_Human	Ras signaling pathway	PRKACA	0.27038349485053065	0.29254607639565616
KEGG_2021_Human	Chemical carcinogenesis	PRKACA	0.2773318114389848	0.29627528961814875
KEGG_2021_Human	Calcium signaling pathway	PRKACA	0.2783192114594731	0.29627528961814875
KEGG_2021_Human	Salmonella infection	GSDMD	0.2871475441165661	0.3008212366935455
KEGG_2021_Human	Parkinson disease	PRKACA	0.2871475441165661	0.3008212366935455
KEGG_2021_Human	Prion disease	PRKACA	0.3101843002029492	0.3223962805258999
KEGG_2021_Human	Huntington disease	TGM2	0.3406922982905563	0.35133893261213617
KEGG_2021_Human	Human papillomavirus infection	PRKACA	0.362935083627456	0.3713754344094899
KEGG_2021_Human	PI3K-Akt signaling pathway	JAK3	0.3827589030698481	0.388647501578615
KEGG_2021_Human	Olfactory transduction	PRKACA	0.4517508392202927	0.4551993189089972
KEGG_2021_Human	Herpes simplex virus 1 infection	SRPK1	0.4940204133740901	0.4940204133740901
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	TGFB1;VCAM1;ST3GAL6;PRKACA;JAK3;ICAM1	3.654894984156424e-5	0.008104340494916545
GO_Biological_Process_2021	regulation of muscle organ development (GO:0048634)	TGFB1;TIFAB	3.6701701451511106e-5	0.008104340494916545
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	ACVR1;TGFB1;FES;PRKACA;JAK3;SRPK1	4.288723515691238e-5	0.008104340494916545
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	ACVR1;TGFB1	4.889496527853119e-5	0.008104340494916545
GO_Biological_Process_2021	pathway-restricted SMAD protein phosphorylation (GO:0060389)	ACVR1;TGFB1	1.3564229227572053e-4	0.015628155226113737
