Term	Genes	P.value	Adjusted.P.value
Pancreatic secretion	CPA2;ADCY3;ADCY6	0.016589088092712985	0.33086012473584236
Cholinergic synapse	CHRNA4;ADCY3;ADCY6	0.021709446943658943	0.33086012473584236
Rap1 signaling pathway	PDGFD;CTNND1;ADCY3;ADCY6	0.024821266604919807	0.33086012473584236
Ovarian steroidogenesis	ADCY3;ADCY6	0.02945761825403563	0.33086012473584236
Purine metabolism	PDE10A;ADCY3;ADCY6	0.030529947408148277	0.33086012473584236
Vitamin B6 metabolism	PHOSPHO2	0.031093091576432783	0.33086012473584236
Regulation of lipolysis in adipocytes	ADCY3;ADCY6	0.033850142654575505	0.33086012473584236
Estrogen signaling pathway	NCOA3;ADCY3;ADCY6	0.03554695555013182	0.33086012473584236
Retrograde endocannabinoid signaling	NDUFS3;ADCY3;ADCY6	0.04309520585522911	0.33094845298943604
Cortisol synthesis and secretion	ADCY3;ADCY6	0.045846590117924454	0.33094845298943604
Cushing syndrome	ADCY3;E2F3;ADCY6	0.04828322778450983	0.33094845298943604
Melanoma	PDGFD;E2F3	0.055033637820567284	0.33094845298943604
Thyroid hormone synthesis	ADCY3;ADCY6	0.059153225809109894	0.33094845298943604
Chronic myeloid leukemia	E2F3;GAB2	0.06054954937053521	0.33094845298943604
Gastric acid secretion	ADCY3;ADCY6	0.06054954937053521	0.33094845298943604
Protein processing in endoplasmic reticulum	UBXN1;SELENOS;UBQLN4	0.06122957793108763	0.33094845298943604
Insulin secretion	ADCY3;ADCY6	0.07510936595849518	0.33094845298943604
GABAergic synapse	ADCY3;ADCY6	0.07967533472864029	0.33094845298943604
Bile secretion	ADCY3;ADCY6	0.0812162937457313	0.33094845298943604
Salivary secretion	ADCY3;ADCY6	0.08589413923697932	0.33094845298943604
GnRH signaling pathway	ADCY3;ADCY6	0.08589413923697932	0.33094845298943604
Dilated cardiomyopathy	ADCY3;ADCY6	0.09065158882364822	0.33094845298943604
Circadian entrainment	ADCY3;ADCY6	0.0922544728259519	0.33094845298943604
Prostate cancer	PDGFD;E2F3	0.0922544728259519	0.33094845298943604
Aldosterone synthesis and secretion	ADCY3;ADCY6	0.09386567208448372	0.33094845298943604
Inflammatory mediator regulation of TRP channels	ADCY3;ADCY6	0.09386567208448372	0.33094845298943604
Progesterone-mediated oocyte maturation	ADCY3;ADCY6	0.09711249980836766	0.33094845298943604
Melanogenesis	ADCY3;ADCY6	0.09874787273969121	0.33094845298943604
Steroid biosynthesis	DHCR24	0.09996930200784186	0.33094845298943604
One carbon pool by folate	MTHFD1	0.09996930200784186	0.33094845298943604
Longevity regulating pathway	ADCY3;ADCY6	0.10039104986556256	0.33094845298943604
cAMP signaling pathway	PDE10A;ADCY3;ADCY6	0.10506906297614302	0.33094845298943604
Parathyroid hormone synthesis, secretion and action	ADCY3;ADCY6	0.10703931566247009	0.33094845298943604
Human T-cell leukemia virus 1 infection	ADCY3;E2F3;ADCY6	0.10834217366102356	0.33094845298943604
Terpenoid backbone biosynthesis	RCE1	0.10940444726923505	0.33094845298943604
Human cytomegalovirus infection	ADCY3;E2F3;ADCY6	0.11500629565628379	0.3394088237661058
Glutamatergic synapse	ADCY3;ADCY6	0.12067344940028833	0.344944494036328
Amyotrophic lateral sclerosis	DCTN6;NDUFS3;NUP35;UBQLN4	0.1249496455279472	0.344944494036328
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGQ	0.12798181377597367	0.344944494036328
Growth hormone synthesis, secretion and action	ADCY3;ADCY6	0.12940201913702706	0.344944494036328
Chemical carcinogenesis	CHRNA4;ADCY3;ADCY6	0.13113592335265362	0.344944494036328
Platelet activation	ADCY3;ADCY6	0.1382734328925522	0.3559805399999748
Oocyte meiosis	ADCY3;ADCY6	0.14727457059885396	0.363678021274721
Relaxin signaling pathway	ADCY3;ADCY6	0.14727457059885396	0.363678021274721
Circadian rhythm	CRY1	0.15066458849071662	0.3646083041475342
Vascular smooth muscle contraction	ADCY3;ADCY6	0.15456043185810464	0.36670220107511103
Fructose and mannose metabolism	PMM1	0.15957318158205405	0.36965524619723283
Apelin signaling pathway	ADCY3;ADCY6	0.16191510783845733	0.36965524619723283
Breast cancer	NCOA3;E2F3	0.18056435152877598	0.40459789879596103
Adrenergic signaling in cardiomyocytes	ADCY3;ADCY6	0.18622260914896432	0.4053321111950492
Nicotine addiction	CHRNA4	0.1900305701032035	0.4053321111950492
Oxytocin signaling pathway	ADCY3;ADCY6	0.19380592881521627	0.4053321111950492
Bladder cancer	E2F3	0.19429142520093268	0.4053321111950492
Fatty acid degradation	ACADM	0.20274664418764707	0.41580243977466597
cGMP-PKG signaling pathway	ADCY3;ADCY6	0.21870220318619482	0.4292660004770491
Hepatocellular carcinoma	SMARCB1;E2F3	0.2206300694075228	0.4292660004770491
Amino sugar and nucleotide sugar metabolism	PMM1	0.2235021324797859	0.4292660004770491
Valine, leucine and isoleucine degradation	ACADM	0.2235021324797859	0.4292660004770491
Vibrio cholerae infection	ADCY3	0.23165366154685363	0.4379702038620201
Endocrine and other factor-regulated calcium reabsorption	ADCY6	0.24372229058483633	0.4536984178579261
Chemokine signaling pathway	ADCY3;ADCY6	0.26719246208415975	0.48985284715429284
Arachidonic acid metabolism	PTGES	0.2749950667407361	0.496632881725807
Lysine degradation	PRDM16	0.2826109813678469	0.5028813050810217
Fc epsilon RI signaling pathway	GAB2	0.3013058400434301	0.512546744900518
Mitophagy	ATG9B	0.3013058400434301	0.512546744900518
Pathways in cancer	NCOA3;ADCY3;E2F3;ADCY6	0.304541743099835	0.512546744900518
Renin secretion	ADCY6	0.3049864928333661	0.512546744900518
Adherens junction	CTNND1	0.31229028071398846	0.5165614496049253
Non-small cell lung cancer	E2F3	0.3159136138079709	0.5165614496049253
PPAR signaling pathway	ACADM	0.3231036494986545	0.5189152996088822
Glioma	E2F3	0.3266705471368282	0.5189152996088822
Pancreatic cancer	E2F3	0.3302188270238341	0.5189152996088822
RNA degradation	EXOSC8	0.3407529206573408	0.5276832404818409
Ras signaling pathway	PDGFD;GAB2	0.3445204627939292	0.5276832404818409
Calcium signaling pathway	PDGFD;ADCY3	0.35973462356591496	0.5440986181434464
Taste transduction	ADCY6	0.364698585699192	0.5447966527111386
Small cell lung cancer	E2F3	0.384536350797289	0.5674255908106337
Fc gamma R-mediated phagocytosis	GAB2	0.40059819174720873	0.5816072168944596
Choline metabolism in cancer	PDGFD	0.403760381976319	0.5816072168944596
Protein digestion and absorption	CPA2	0.4193251715675787	0.5969217148197297
Ribosome biogenesis in eukaryotes	LSG1	0.4344874119222594	0.6113136842162022
Leukocyte transendothelial migration	CTNND1	0.45216523835616995	0.6288734924263972
Sphingolipid signaling pathway	GAB2	0.4664778059715136	0.6324351599972341
Thyroid hormone signaling pathway	NCOA3	0.4720985673923719	0.6324351599972341
Huntington disease	DCTN6;NDUFS3	0.47917759994730735	0.6324351599972341
Cell cycle	E2F3	0.4804199155136594	0.6324351599972341
MicroRNAs in cancer	E2F3;SLC7A1	0.48599165363881275	0.6324351599972341
Osteoclast differentiation	GAB2	0.4886113230689866	0.6324351599972341
Lysosome	GGA3	0.49131326479123977	0.6324351599972341
Oxidative phosphorylation	NDUFS3	0.5046123246234886	0.642716750309917
Autophagy	ATG9B	0.5150031301416665	0.6491185286160589
Apoptosis	AIFM1	0.5276885274300598	0.6582506373096622
Gastric cancer	E2F3	0.5448977353644329	0.6677439226011661
Non-alcoholic fatty liver disease	NDUFS3	0.5591531429931211	0.6677439226011661
Cellular senescence	E2F3	0.5614856595086715	0.6677439226011661
Hepatitis C	E2F3	0.5638059516609104	0.6677439226011661
Ribosome	MRPS11	0.5661140828037949	0.6677439226011661
Necroptosis	AIFM1	0.5684101159332241	0.6677439226011661
Hepatitis B	E2F3	0.5752262548656131	0.6692536234494153
Wnt signaling pathway	DAAM1	0.5841488433543327	0.6731620004368977
RNA transport	NUP35	0.6260520256516685	0.7146442934325651
Kaposi sarcoma-associated herpesvirus infection	E2F3	0.6397070155156968	0.7234069988541991
Focal adhesion	PDGFD	0.6547088020793927	0.7241976862761595
Epstein-Barr virus infection	E2F3	0.6565399771486203	0.7241976862761595
Diabetic cardiomyopathy	NDUFS3	0.6583615329783268	0.7241976862761595
Regulation of actin cytoskeleton	PDGFD	0.684563983290123	0.7462364142171611
Pathways of neurodegeneration	DCTN6;NDUFS3	0.7159113370678337	0.7734399266536417
Salmonella infection	DCTN6	0.7325722755389178	0.7775547836860442
Parkinson disease	NDUFS3	0.7325722755389178	0.7775547836860442
Prion disease	NDUFS3	0.7647034751166197	0.8046010477313998
MAPK signaling pathway	PDGFD	0.7896619440929139	0.8236990968555395
Neuroactive ligand-receptor interaction	CHRNA4	0.8364165932623459	0.8650120323482381
PI3K-Akt signaling pathway	PDGFD	0.8474210011070553	0.868965602830116
Alzheimer disease	NDUFS3	0.8592098187171497	0.8736503198720598
Olfactory transduction	ADCY3	0.9038587339303961	0.9113908900464827
Herpes simplex virus 1 infection	SRPK1	0.9296712457815188	0.9296712457815188
response to glucagon (GO:0033762)	CRY1;ADCY3;ADCY6	1.7456741107649073e-4	0.060183499340489985
L-arginine import across plasma membrane (GO:0097638)	SLC7A1;SLC7A3	2.702032877114542e-4	0.060183499340489985
ornithine transport (GO:0015822)	SLC7A1;SLC7A3	2.702032877114542e-4	0.060183499340489985
L-arginine transmembrane transport (GO:1903400)	SLC7A1;SLC7A3	4.039161029563086e-4	0.060183499340489985
L-ornithine transmembrane transport (GO:1903352)	SLC7A1;SLC7A3	4.039161029563086e-4	0.060183499340489985
response to forskolin (GO:1904321)	ADCY3;ADCY6	9.594723189062522e-4	0.10211526822645113
cellular response to forskolin (GO:1904322)	ADCY3;ADCY6	9.594723189062522e-4	0.10211526822645113
cAMP biosynthetic process (GO:0006171)	ADCY3;ADCY6	0.0011952352797267602	0.11130628542455455
cAMP metabolic process (GO:0046058)	ADCY3;ADCY6	0.002384137634921312	0.18166902980368552
sensory perception (GO:0007600)	CHRNA4;PCDH15;PTGES	0.002438510467163564	0.18166902980368552
activation of protein kinase A activity (GO:0034199)	ADCY3;ADCY6	0.00352672379591105	0.23885538435943024
cellular response to glucagon stimulus (GO:0071377)	ADCY3;ADCY6	0.004404127838497018	0.24183229122595992
sensory perception of pain (GO:0019233)	CHRNA4;PTGES	0.005371761068252887	0.24183229122595992
cyclic purine nucleotide metabolic process (GO:0052652)	ADCY3;ADCY6	0.005371761068252887	0.24183229122595992
amino acid import across plasma membrane (GO:0089718)	SLC7A1;SLC7A3	0.006988134319033998	0.24183229122595992
protein import into nucleus (GO:0006606)	NUP35;HIKESHI;E2F3	0.007489324338327018	0.24183229122595992
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	UBXN1;SELENOS	0.007569947211099144	0.24183229122595992
L-alpha-amino acid transmembrane transport (GO:1902475)	SLC7A1;SLC7A3	0.008796691418412595	0.24183229122595992
cell-cell junction organization (GO:0045216)	SDK1;CTNND1;SDK2	0.009223769236180247	0.24183229122595992
L-amino acid transport (GO:0015807)	SLC7A1;SLC7A3	0.009441157741214108	0.24183229122595992
regulation of gluconeogenesis (GO:0006111)	SELENOS;CRY1	0.010106046583338048	0.24183229122595992
renal water homeostasis (GO:0003091)	ADCY3;ADCY6	0.011496181765014754	0.24183229122595992
nucleosome organization (GO:0034728)	SMARCB1;ASF1A;BRDT	0.013345285724056678	0.24183229122595992
activation of adenylate cyclase activity (GO:0007190)	ADCY3;ADCY6	0.01531317418094131	0.24183229122595992
cell junction assembly (GO:0034329)	SDK1;CTNND1;SDK2	0.016589088092712985	0.24183229122595992
cellular response to ketone (GO:1901655)	ADCY3;ADCY6	0.017828898361499357	0.24183229122595992
cellular response to peptide hormone stimulus (GO:0071375)	SELENOS;ADCY3;ADCY6	0.018362212303875847	0.24183229122595992
regulation of sodium ion transmembrane transporter activity (GO:2000649)	HECW2;WNK4	0.018703777270415414	0.24183229122595992
cation transmembrane transport (GO:0098655)	SLC7A1;SLC7A3	0.022379253360945664	0.24183229122595992
ion transport (GO:0006811)	CHRNA4;WNK4;SLC26A11	0.023239376262820258	0.24183229122595992
negative regulation of autophagosome maturation (GO:1901097)	UBQLN4	0.025978215844994757	0.24183229122595992
amino-acid betaine biosynthetic process (GO:0006578)	ACADM	0.025978215844994757	0.24183229122595992
negative regulation of cGMP-mediated signaling (GO:0010754)	PDE10A	0.025978215844994757	0.24183229122595992
receptor transactivation (GO:0035624)	NCOA3	0.025978215844994757	0.24183229122595992
gastro-intestinal system smooth muscle contraction (GO:0014831)	SULF2	0.025978215844994757	0.24183229122595992
glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	SULF2	0.025978215844994757	0.24183229122595992
camera-type eye photoreceptor cell differentiation (GO:0060219)	SDK2	0.025978215844994757	0.24183229122595992
positive regulation of histone H3-K9 acetylation (GO:2000617)	SMARCB1	0.025978215844994757	0.24183229122595992
carnitine biosynthetic process (GO:0045329)	ACADM	0.025978215844994757	0.24183229122595992
ribosome localization (GO:0033750)	LSG1	0.025978215844994757	0.24183229122595992
positive regulation of mast cell activation involved in immune response (GO:0033008)	GAB2	0.025978215844994757	0.24183229122595992
regulation of fever generation (GO:0031620)	PTGES	0.025978215844994757	0.24183229122595992
late endosome to Golgi transport (GO:0034499)	SGSM2	0.025978215844994757	0.24183229122595992
regulation of growth hormone receptor signaling pathway (GO:0060398)	MBD5	0.025978215844994757	0.24183229122595992
regulation of histone H2B ubiquitination (GO:2001166)	WDR70	0.025978215844994757	0.24183229122595992
regulation of histone H3-K9 trimethylation (GO:1900112)	SMARCB1	0.025978215844994757	0.24183229122595992
regulation of histone H4-K16 acetylation (GO:2000618)	SMARCB1	0.025978215844994757	0.24183229122595992
cerebral cortex neuron differentiation (GO:0021895)	CHD5	0.025978215844994757	0.24183229122595992
medium-chain fatty acid catabolic process (GO:0051793)	ACADM	0.025978215844994757	0.24183229122595992
positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)	E2F3	0.025978215844994757	0.24183229122595992
embryonic viscerocranium morphogenesis (GO:0048703)	MTHFD1	0.025978215844994757	0.24183229122595992
purine ribonucleotide biosynthetic process (GO:0009152)	ADCY3;ADCY6	0.02632649409560189	0.24183229122595992
cellular response to alcohol (GO:0097306)	ADCY3;ADCY6	0.02632649409560189	0.24183229122595992
cellular response to lipid (GO:0071396)	SELENOS;NCOA3;ADCY3;ADCY6	0.0283728388581536	0.24183229122595992
amino acid transport (GO:0006865)	SLC7A1;SLC7A3	0.0283980432384044	0.24183229122595992
regulation of generation of precursor metabolites and energy (GO:0043467)	PRDM16;NUP35	0.0283980432384044	0.24183229122595992
negative regulation of protein ubiquitination (GO:0031397)	UBXN1;CRY1	0.02945761825403563	0.24183229122595992
nervous system development (GO:0007399)	SDK1;MBD5;UTP11;PCDHA11;SDK2;SREBF2	0.0304830631213135	0.24183229122595992
equilibrioception (GO:0050957)	PCDH15	0.031093091576432783	0.24183229122595992
positive regulation of cholesterol storage (GO:0010886)	SREBF2	0.031093091576432783	0.24183229122595992
GDP-mannose metabolic process (GO:0019673)	PMM1	0.031093091576432783	0.24183229122595992
negative regulation of ERAD pathway (GO:1904293)	UBXN1	0.031093091576432783	0.24183229122595992
negative regulation of fat cell proliferation (GO:0070345)	E2F3	0.031093091576432783	0.24183229122595992
negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	CRY1	0.031093091576432783	0.24183229122595992
negative regulation of glycogen biosynthetic process (GO:0045719)	SELENOS	0.031093091576432783	0.24183229122595992
negative regulation of histone H3-K9 methylation (GO:0051573)	SMARCB1	0.031093091576432783	0.24183229122595992
regulation of cell cycle checkpoint (GO:1901976)	CRY1	0.031093091576432783	0.24183229122595992
response to catecholamine (GO:0071869)	ADCY6	0.031093091576432783	0.24183229122595992
response to manganese ion (GO:0010042)	D2HGDH	0.031093091576432783	0.24183229122595992
negative regulation of myeloid cell apoptotic process (GO:0033033)	SELENOS	0.031093091576432783	0.24183229122595992
chondrocyte development (GO:0002063)	SULF2	0.031093091576432783	0.24183229122595992
regulation of macrophage apoptotic process (GO:2000109)	SELENOS	0.031093091576432783	0.24183229122595992
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	EXOSC8	0.031093091576432783	0.24183229122595992
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	EXOSC8	0.031093091576432783	0.24183229122595992
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038)	EXOSC8	0.031093091576432783	0.24183229122595992
nucleotide transport (GO:0006862)	SLC25A36	0.031093091576432783	0.24183229122595992
tRNA surveillance (GO:0106354)	EXOSC8	0.031093091576432783	0.24183229122595992
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	UBXN1;CRY1	0.033850142654575505	0.24183229122595992
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	SELENOS;ADCY3;ADCY6	0.034897905588201744	0.24183229122595992
dicarboxylic acid metabolic process (GO:0043648)	MTHFD1;D2HGDH	0.036136320361132054	0.24183229122595992
regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)	E2F3	0.03618136368378441	0.24183229122595992
negative regulation of glycogen metabolic process (GO:0070874)	SELENOS	0.03618136368378441	0.24183229122595992
positive regulation of histone H4 acetylation (GO:0090240)	SMARCB1	0.03618136368378441	0.24183229122595992
regulation of cGMP-mediated signaling (GO:0010752)	PDE10A	0.03618136368378441	0.24183229122595992
histone H3-K14 acetylation (GO:0044154)	BRPF3	0.03618136368378441	0.24183229122595992
inhibitory postsynaptic potential (GO:0060080)	CHRNA4	0.03618136368378441	0.24183229122595992
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	LSG1	0.03618136368378441	0.24183229122595992
regulation of fat cell proliferation (GO:0070344)	E2F3	0.03618136368378441	0.24183229122595992
cellular response to laminar fluid shear stress (GO:0071499)	SREBF2	0.03618136368378441	0.24183229122595992
regulation of glucocorticoid receptor signaling pathway (GO:2000322)	CRY1	0.03618136368378441	0.24183229122595992
cellular response to monoamine stimulus (GO:0071868)	ADCY6	0.03618136368378441	0.24183229122595992
late nucleophagy (GO:0044805)	ATG9B	0.03618136368378441	0.24183229122595992
cellular response to prostaglandin E stimulus (GO:0071380)	ADCY6	0.03618136368378441	0.24183229122595992
positive regulation of potassium ion import across plasma membrane (GO:1903288)	WNK4	0.03618136368378441	0.24183229122595992
protein catabolic process in the vacuole (GO:0007039)	CPA2	0.03618136368378441	0.24183229122595992
negative regulation of acute inflammatory response (GO:0002674)	SELENOS	0.03618136368378441	0.24183229122595992
chromatin organization (GO:0006325)	SMARCB1;PRDM16;BRDT	0.038885470945542205	0.24183229122595992
nitrogen compound transport (GO:0071705)	HIKESHI;SLC7A1;SLC7A3	0.03957174214180336	0.24183229122595992
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	ADCY3;ADCY6	0.03967385648205092	0.24183229122595992
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	SDK1;SDK2	0.03967385648205092	0.24183229122595992
ER overload response (GO:0006983)	SELENOS	0.0412431688635261	0.24183229122595992
