Term	Genes	P.value	Adjusted.P.value
AGE/RAGE pathway WP2324	NFKBIA;NCF1	0.05371023795365326	0.1612479401166898
Interleukin-1 Induced Activation of NF-kappa-B WP3656	TIFA	0.055096754219821284	0.1612479401166898
Degradation pathway of sphingolipids, including diseases WP4153	HEXB	0.055096754219821284	0.1612479401166898
SARS-CoV-2 and COVID-19 Pathway WP4846	TLR7	0.055096754219821284	0.1612479401166898
p53 transcriptional gene network WP4963	FAS;ICAM1	0.05516376898728862	0.1612479401166898
Nonalcoholic fatty liver disease WP4396	CEBPA;VCAM1;FAS	0.05771302608661446	0.16614355994631436
Serotonin Transporter Activity WP1455	IL1R1	0.06043811633234245	0.17139167318126966
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ WP3849	NFKBIA	0.06574955100746059	0.18371198075613987
Cytosolic DNA-sensing pathway WP4655	NFKBIA;CCL5	0.06727253246412589	0.18487578935121393
Prolactin Signaling Pathway WP2037	NFKBIA;IRF1	0.06884329539600655	0.18487578935121393
Serotonin and anxiety-related events WP3944	PLEK	0.07103122432967693	0.18487578935121393
Transcriptional cascade regulating adipogenesis WP4211	CEBPA	0.07103122432967693	0.18487578935121393
Neuroinflammation WP4919	NFKBIA	0.07103122432967693	0.18487578935121393
Cancer immunotherapy by CTLA4 blockade WP4582	CD86	0.0762833015257954	0.19586253094460981
GPR40 Pathway WP3958	PLCG2	0.08150594689102497	0.20648173212392992
Serotonin and anxiety WP3947	PLEK	0.0918635949518264	0.215850700391368
IL-9 signaling pathway WP22	IL2RG	0.0918635949518264	0.215850700391368
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	VCAM1	0.0918635949518264	0.215850700391368
Canonical and non-canonical TGF-B signaling WP3874	TGFBR2	0.0918635949518264	0.215850700391368
Glycosaminoglycan degradation WP4815	HEXB	0.0918635949518264	0.215850700391368
T-cell receptor (TCR) signaling pathway WP69	NFKBIA;FAS	0.09202056174579372	0.215850700391368
TNF-alpha signaling pathway WP231	NFKBIA;TNFRSF1B	0.09549673840912326	0.21996774680594317
Transcription co-factors SKI and SKIL protein partners WP4533	MERTK	0.09699892180024121	0.21996774680594317
Corticotropin-releasing hormone signaling pathway WP2355	NFKBIA;PLCG2	0.09724889858789067	0.21996774680594317
15q13.3 copy number variation syndrome WP4942	CCL5	0.10210546516485934	0.22045498160594632
Apoptosis Modulation by HSP70 WP384	FAS	0.10210546516485934	0.22045498160594632
LTF danger signal response pathway WP4478	CD14	0.10210546516485934	0.22045498160594632
Farnesoid X receptor pathway WP2879	SLCO2B1	0.10210546516485934	0.22045498160594632
Complement system WP2806	ITGB2;ICAM1	0.10434766572490813	0.22135699059138064
Metabolism of Spingolipids in ER and Golgi apparatus WP4142	B4GALT1	0.10718338491793168	0.22135699059138064
Nanomaterial induced apoptosis WP2507	FAS	0.10718338491793168	0.22135699059138064
Hypertrophy Model WP516	IL1R1	0.10718338491793168	0.22135699059138064
Integrin-mediated Cell Adhesion WP185	ITGAM;ITGB2	0.11158324398886037	0.22796576728906956
Transcription factor regulation in adipogenesis WP3599	CEBPA	0.1172539887068551	0.22967276138456152
Vitamin D in inflammatory diseases WP4482	NFKBIA	0.1172539887068551	0.22967276138456152
PI3K/AKT/mTOR - VitD3 signaling WP4141	CD86	0.1172539887068551	0.22967276138456152
Glycerolipids and Glycerophospholipids WP4722	PNPLA2	0.1172539887068551	0.22967276138456152
Immune response to tuberculosis WP4197	IRF1	0.12224698812022401	0.2370094667636996
Triacylglyceride synthesis WP325	PNPLA2	0.12721199471109496	0.2414263572593236
GPCRs, Class B Secretin-like WP334	ADGRE1	0.12721199471109496	0.2414263572593236
IL-7 signaling pathway WP205	IL2RG	0.1321491639735245	0.2414263572593236
Differentiation of white and brown adipocyte WP2895	CEBPA	0.1321491639735245	0.2414263572593236
Glycosylation and related congenital defects WP4521	B4GALT1	0.1321491639735245	0.2414263572593236
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	TGFBR2	0.1321491639735245	0.2414263572593236
EPO Receptor Signaling WP581	PTPRC	0.13705865061663106	0.24801089159199904
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	SGK1	0.1419406084517323	0.2544218453380107
TLR4 Signaling and Tolerance WP3851	NFKBIA	0.14679519047539408	0.25955549207920997
Hippo-Merlin Signaling Dysregulation WP4541	ITGAM;ITGB2	0.14753680602397198	0.25955549207920997
T-Cell Receptor and Co-stimulatory Signaling WP2583	NFKBIA	0.1516225488163737	0.2618934934101
Lipid Metabolism Pathway WP3965	PNPLA2	0.1516225488163737	0.2618934934101
Extracellular vesicle-mediated signaling in recipient cells WP2870	TGFBR2	0.1564228347708119	0.26711823928910855
Toll-like Receptor Signaling related to MyD88 WP3858	TLR7	0.1611961988204034	0.26711823928910855
Type I interferon induction and signaling during SARS-CoV-2 infection WP4868	TLR7	0.1611961988204034	0.26711823928910855
Initiation of transcription and translation elongation at the HIV-1 LTR WP3414	NFKBIA	0.1659427906060538	0.26711823928910855
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4) WP2817	CEBPA	0.1659427906060538	0.26711823928910855
White fat cell differentiation WP4149	CEBPA	0.1659427906060538	0.26711823928910855
Monoamine Transport WP727	IL1R1	0.1659427906060538	0.26711823928910855
SARS-CoV-2 mitochondrial interactions WP5038	TLR7	0.1659427906060538	0.26711823928910855
Adipogenesis WP236	CEBPA;FAS	0.1673003709231785	0.26711823928910855
miRNA regulation of prostate cancer signaling pathways WP3981	NFKBIA	0.1706627589546523	0.2702160350115328
Fatty acid beta-oxidation WP143	PNPLA2	0.1753562518555918	0.2753527921699376
The influence of laminopathies on Wnt signaling WP4844	CEBPA	0.18002341649109183	0.2780849523033126
Overview of leukocyte-intrinsic Hippo pathway functions WP4542	FERMT3	0.18002341649109183	0.2780849523033126
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380	NFKBIA;NCF1	0.19565904011156537	0.2998001421064308
G13 Signaling Pathway WP524	GNA13	0.19843170777529265	0.301282718887333
IL-5 signaling pathway WP127	SYK	0.20296941061883486	0.301282718887333
ATM Signaling Pathway WP2516	NFKBIA	0.20296941061883486	0.301282718887333
PDGF Pathway WP2526	NFKBIA	0.20296941061883486	0.301282718887333
Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433	NFKBIA	0.20748165145642206	0.30399470818697116
Regulation of Actin Cytoskeleton WP51	GNA13;CD14	0.20799637928582237	0.30399470818697116
Fas ligand pathway and stress induction of heat shock proteins WP314	FAS	0.21196857185865262	0.30533526625740187
Hepatitis B infection WP4666	FAS;TGFBR2	0.2121276586630371	0.30533526625740187
Myometrial relaxation and contraction pathways WP289	RAMP2;PLCG2	0.22041414494525816	0.3131696465774267
Interleukin-11 Signaling Pathway WP2332	ICAM1	0.2208670139019746	0.3131696465774267
Prostaglandin Synthesis and Regulation WP98	HPGDS	0.22527881484079657	0.3170590727388989
VEGFA-VEGFR2 Signaling Pathway WP3888	NFKBIA;NCF1;FAS;ICAM1	0.2281899439569326	0.31760979386459043
Aryl Hydrocarbon Receptor Netpath WP2586	HPGDS	0.22966585404452466	0.31760979386459043
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534	ITGB2	0.23402826916338243	0.31760979386459043
NO/cGMP/PKG mediated Neuroprotection WP4008	NFKBIA	0.23402826916338243	0.31760979386459043
Energy Metabolism WP1541	UCP2	0.23402826916338243	0.31760979386459043
Phosphoinositides metabolism WP4971	PLCG2	0.2426797745527419	0.3270152990427018
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	CSF3R;ITGB2;IL2RG	0.24511430317044977	0.3279698422703201
Photodynamic therapy-induced AP-1 survival signaling. WP3611	FAS	0.2469691364760274	0.328140810702414
Interferon type I signaling pathways WP585	PTPRC	0.2638871142135861	0.3457831151764232
TGF-beta Receptor Signaling WP560	TGFBR2	0.2638871142135861	0.3457831151764232
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	CEBPA	0.26805740556347285	0.34821637850111187
Nuclear Receptors Meta-Pathway WP2882	SRGN;SLCO2B1;TGFBR2	0.26940951389296547	0.34821637850111187
TGF-beta receptor signaling in skeletal dysplasias WP4816	TGFBR2	0.28042829211387854	0.3600092939299792
Novel intracellular components of RIG-I-like receptor (RLR) pathway WP3865	NFKBIA	0.28856018790506505	0.3679626557178682
3q29 copy number variation syndrome WP4906	NRROS	0.30058754552532485	0.3782227394027266
Lung fibrosis WP3624	CCL5	0.30058754552532485	0.3782227394027266
Oncostatin M Signaling Pathway WP2374	NFKBIA	0.3084935975362333	0.3830966243914008
Pathways affected in adenoid cystic carcinoma WP3651	CEBPA	0.3084935975362333	0.3830966243914008
Thyroid stimulating hormone (TSH) signaling pathway WP2032	GNA13	0.3124133416468328	0.38544503190193663
DNA damage response WP707	FAS	0.32018688283567626	0.3899712034537082
RAC1/PAK1/p38/MMP2 Pathway WP3303	NFKBIA	0.32018688283567626	0.3899712034537082
Folate Metabolism WP176	ICAM1	0.3240409245099103	0.39215143730498697
Glucocorticoid Receptor Pathway WP2880	SRGN	0.32787330879034837	0.3930239443928585
miRNA regulation of DNA damage response WP1530	FAS	0.33168415636703996	0.3930239443928585
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	PLCG2	0.33168415636703996	0.3930239443928585
MECP2 and Associated Rett Syndrome WP3584	SGK1	0.33547358712078257	0.3930239443928585
Non-small cell lung cancer WP4255	PLCG2	0.33547358712078257	0.3930239443928585
Chromosomal and microsatellite instability in colorectal cancer  WP4216	TGFBR2	0.33924172042330947	0.3930239443928585
Head and Neck Squamous Cell Carcinoma WP4674	TGFBR2	0.33924172042330947	0.3930239443928585
Leptin signaling pathway WP2034	PLCG2	0.35041951847332065	0.4035133849086723
Glioblastoma signaling pathways WP2261	PLCG2	0.3722158932644043	0.42603023927853506
Alzheimer's disease WP2059	FAS	0.3757774696582015	0.4275312529045407
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	PLCG2	0.37931901811137053	0.4289917466735738
Acute viral myocarditis WP4298	ITGB2	0.3863424770334258	0.4343495303926089
Selenium Micronutrient Network WP15	ICAM1	0.3967302263993966	0.44081136266599624
Pancreatic adenocarcinoma pathway WP4263	TGFBR2	0.3967302263993966	0.44081136266599624
ErbB signaling pathway WP673	PLCG2	0.4035583737403431	0.44579122680619293
G Protein Signaling Pathways WP35	GNA13	0.4103099123258195	0.4506293834792237
Thyroid hormones production and their peripheral downstream signaling effects WP4746	PNPLA2	0.4169856941073116	0.4553292062091334
Small cell lung cancer WP4658	NFKBIA	0.4202954398373235	0.4563207632519512
Electron Transport Chain (OXPHOS system in mitochondria) WP111	UCP2	0.44294796512449364	0.47818246235030565
7q11.23 copy number variation syndrome WP4932	FAS	0.4461115953405777	0.47887685375542244
Senescence and Autophagy in Cancer WP615	IRF1	0.4492574166783162	0.4795444335330341
Thermogenesis WP4321	PNPLA2	0.4585890176972445	0.48677046571215904
Gastrin signaling pathway WP4659	NFKBIA	0.4767846203819182	0.5032726548475803
TGF-beta Signaling Pathway WP366	TGFBR2	0.5278131767462139	0.5540580308385671
Male infertility WP4673	FAS	0.5640638030811925	0.5856400141280141
NRF2 pathway WP2884	TGFBR2	0.5640638030811925	0.5856400141280141
Integrated breast cancer pathway WP1984	TGFBR2	0.5787422716582965	0.5976143022558495
Insulin Signaling WP481	SGK1	0.597554135619225	0.6104047621916814
Epithelial to mesenchymal transition in colorectal cancer WP4239	TGFBR2	0.597554135619225	0.6104047621916814
Ras signaling WP4223	PLCG2	0.6491365881614505	0.6595505441212599
Focal Adhesion WP306	HCK	0.6761410746001418	0.6833340647554625
Circadian rhythm related genes WP3594	FAS	0.6816540472104836	0.6852606823809095
Ciliary landscape WP4352	LCN2	0.7078541959658927	0.7078541959658927
Pertussis	C1QB;C1QA;ITGAM;IRF1;ITGB2;IRF8;CD14;C1QC	1.1070594073986814e-8	1.7048714873939694e-6
Staphylococcus aureus infection	C1QB;C1QA;ITGAM;ITGB2;FCGR2B;ICAM1;C1QC	1.1177710635202638e-6	6.348111247787563e-5
Fc gamma R-mediated phagocytosis	HCK;PTPRC;NCF1;SYK;ARPC1B;PLCG2;FCGR2B	1.287469644961258e-6	6.348111247787563e-5
Chagas disease	NFKBIA;C1QB;C1QA;CCL5;FAS;TGFBR2;C1QC	1.8083878467820243e-6	6.348111247787563e-5
NF-kappa B signaling pathway	NFKBIA;VCAM1;SYK;IL1R1;PLCG2;CD14;ICAM1	2.0610750804505075e-6	6.348111247787563e-5
TNF signaling pathway	NFKBIA;VCAM1;IRF1;CCL5;FAS;TNFRSF1B;ICAM1	3.3870012422198923e-6	8.693303188364391e-5
Osteoclast differentiation	NFKBIA;NCF1;SYK;IL1R1;PLCG2;FCGR2B;TGFBR2	7.793373750871486e-6	1.6233791379256104e-4
Tuberculosis	CD74;ITGAM;FCER1G;SYK;ITGB2;CD14;FCGR2B;CTSS	8.43313837883434e-6	1.6233791379256104e-4
Cell adhesion molecules	CD86;VCAM1;PTPRC;ITGAM;ITGB2;VSIR;ICAM1	2.114672159321607e-5	3.6184390281725274e-4
Leukocyte transendothelial migration	VCAM1;ITGAM;NCF1;ITGB2;PLCG2;ICAM1	4.623776057270722e-5	7.120615128196913e-4
B cell receptor signaling pathway	NFKBIA;SYK;PLCG2;FCGR2B;PIK3AP1	9.587273973845648e-5	0.0011877032420066725
Neutrophil extracellular trap formation	GSDMD;ITGAM;NCF1;SYK;ITGB2;PLCG2;TLR7	1.0001347281707457e-4	0.0011877032420066725
Natural killer cell mediated cytotoxicity	FCER1G;SYK;ITGB2;PLCG2;FAS;ICAM1	1.0026066328627754e-4	0.0011877032420066725
Kaposi sarcoma-associated herpesvirus infection	CD86;NFKBIA;HCK;SYK;PLCG2;FAS;ICAM1	1.1395349155337258e-4	0.0012377480490869644
Complement and coagulation cascades	C1QB;C1QA;ITGAM;ITGB2;C1QC	1.2055987491106795e-4	0.0012377480490869644
Lipid and atherosclerosis	NFKBIA;VCAM1;NCF1;CCL5;FAS;CD14;ICAM1	2.2168534752298652e-4	0.0020469118229815087
Phagosome	ITGAM;NCF1;ITGB2;CD14;FCGR2B;CTSS	2.2595779864081588e-4	0.0020469118229815087
Human T-cell leukemia virus 1 infection	NFKBIA;IL1R1;ITGB2;IL2RG;B2M;ICAM1;TGFBR2	2.4805835207106404e-4	0.0021222770121635476
Cytokine-cytokine receptor interaction	CSF3R;CCL8;IL1R1;CCL5;FAS;TNFRSF1B;IL2RG;TGFBR2	2.7335627883881493e-4	0.0021732211165942554
Legionellosis	NFKBIA;ITGAM;ITGB2;CD14	3.029690329420111e-4	0.0021732211165942554
Toll-like receptor signaling pathway	CD86;NFKBIA;CCL5;TLR7;CD14	3.104601595134651e-4	0.0021732211165942554
C-type lectin receptor signaling pathway	NFKBIA;FCER1G;SYK;IRF1;PLCG2	3.104601595134651e-4	0.0021732211165942554
Coronavirus disease	NFKBIA;C1QB;C1QA;SYK;PLCG2;TLR7;C1QC	3.517284205391755e-4	0.002355051163610132
Shigellosis	NFKBIA;IL1R1;ARPC1B;CCL5;TIFA;PLCG2;CD14	4.99572806980356e-4	0.003205592178123951
Platelet activation	GNA13;FCER1G;SYK;PLCG2;FERMT3	6.951631423461929e-4	0.004282204956852549
Chemokine signaling pathway	NFKBIA;HCK;CCL8;NCF1;CCL5;PLCG2	7.813461610260153e-4	0.004627973415307937
Pathogenic Escherichia coli infection	NFKBIA;GNA13;IL1R1;ARPC1B;FAS;NCKAP1L	8.92986993215937e-4	0.005093333220564974
Leishmaniasis	NFKBIA;ITGAM;NCF1;ITGB2	9.518515614233047e-4	0.005235183587828176
Epstein-Barr virus infection	NFKBIA;SYK;PLCG2;FAS;B2M;ICAM1	0.001016546978964441	0.005398214991742205
Measles	NFKBIA;FAS;TLR7;IL2RG;FCGR2B	0.0011611505169536649	0.005893338400503102
African trypanosomiasis	VCAM1;FAS;ICAM1	0.00118632136633504	0.005893338400503102
Human cytomegalovirus infection	NFKBIA;GNA13;IL1R1;CCL5;FAS;B2M	0.0017625833720745373	0.00848243247810871
Rheumatoid arthritis	CD86;CCL5;ITGB2;ICAM1	0.0019165735626336584	0.008944009958957073
Hematopoietic cell lineage	CSF3R;ITGAM;IL1R1;CD14	0.0024079333213309143	0.01068367679733079
AGE-RAGE signaling pathway in diabetic complications	VCAM1;PLCG2;ICAM1;TGFBR2	0.0024974828876877173	0.01068367679733079
Viral protein interaction with cytokine and cytokine receptor	CCL8;CCL5;TNFRSF1B;IL2RG	0.0024974828876877173	0.01068367679733079
Amoebiasis	ITGAM;IL1R1;ITGB2;CD14	0.0026834021781420407	0.011168755011726332
Malaria	VCAM1;ITGB2;ICAM1	0.002837432470264575	0.011358663923299345
Salmonella infection	GSDMD;NFKBIA;PTPRC;ARPC1B;NCKAP1L;CD14	0.002923359183118879	0.011358663923299345
Influenza A	NFKBIA;CCL5;FAS;TLR7;ICAM1	0.0029503023177400896	0.011358663923299345
Th17 cell differentiation	NFKBIA;IL1R1;IL2RG;TGFBR2	0.0031893005737191203	0.0119793241061645
Transcriptional misregulation in cancer	CD86;CEBPA;ITGAM;CD14;TGFBR2	0.004708813899156068	0.017032350204916228
Viral myocarditis	CD86;ITGB2;ICAM1	0.004755786096177907	0.017032350204916228
Acute myeloid leukemia	CEBPA;ITGAM;CD14	0.006470548173025895	0.022646918605590635
Fc epsilon RI signaling pathway	FCER1G;SYK;PLCG2	0.006741702582193815	0.02307160439239661
Human immunodeficiency virus 1 infection	NFKBIA;PLCG2;FAS;TNFRSF1B;B2M	0.007109643409583329	0.02343391002236168
Systemic lupus erythematosus	CD86;C1QB;C1QA;C1QC	0.007251945812220508	0.02343391002236168
Epithelial cell signaling in Helicobacter pylori infection	NFKBIA;CCL5;PLCG2	0.007304075851125718	0.02343391002236168
Regulation of actin cytoskeleton	GNA13;ITGAM;ARPC1B;ITGB2;NCKAP1L	0.007971129818835222	0.024709200274727082
Fluid shear stress and atherosclerosis	VCAM1;NCF1;IL1R1;ICAM1	0.008022467621664637	0.024709200274727082
Antigen processing and presentation	CD74;B2M;CTSS	0.0098264299874279409	0.02946186692812055
Phospholipase D signaling pathway	GNA13;FCER1G;SYK;PLCG2	0.009948162858845899	0.02946186692812055
Pathways in cancer	NFKBIA;GNA13;CEBPA;CSF3R;PLCG2;FAS;IL2RG;TGFBR2	0.010545714491856744	0.03064226474992337
Endocytosis	SNX1;EHD4;ARPC1B;IL2RG;TGFBR2	0.01425415341271409	0.04065073380662907
Prion disease	C1QB;C1QA;NCF1;CCL5;C1QC	0.01945691545021275	0.052642086085890244
Allograft rejection	CD86;FAS	0.019484408486336	0.052642086085890244
Primary immunodeficiency	PTPRC;IL2RG	0.019484408486336	0.052642086085890244
Various types of N-glycan biosynthesis	B4GALT1;HEXB	0.020462814286818932	0.05433230000293303
Graft-versus-host disease	CD86;FAS	0.023517996922924313	0.06138595807000584
Type I diabetes mellitus	CD86;FAS	0.024575537517548953	0.06307721296170898
Glycosphingolipid biosynthesis	B4GALT1;HEXB	0.026747845393941712	0.067527347387984
Lysosome	SLC11A1;HEXB;CTSS	0.036046614326873005	0.08840258708205545
Autoimmune thyroid disease	CD86;FAS	0.03616469471538632	0.08840258708205545
Apoptosis	NFKBIA;FAS;CTSS	0.046647591489487994	0.11224576702158048
Cytosolic DNA-sensing pathway	NFKBIA;CCL5	0.04943450279067478	0.11712174507329103
PI3K-Akt signaling pathway	CSF3R;SYK;SGK1;IL2RG;PIK3AP1	0.05054414791761632	0.11793634514110475
Adipocytokine signaling pathway	NFKBIA;TNFRSF1B	0.05811205102713735	0.1335709829578978
Herpes simplex virus 1 infection	NFKBIA;CD74;SYK;CCL5;FAS;B2M	0.06333840494011293	0.14315357580230192
Hepatitis B	NFKBIA;FAS;TGFBR2	0.06414023850882358	0.14315357580230192
Chronic myeloid leukemia	NFKBIA;TGFBR2	0.06884329539600655	0.15145524987121442
NOD-like receptor signaling pathway	GSDMD;NFKBIA;CCL5	0.0831507152244561	0.18035507245867946
MAPK signaling pathway	IL1R1;FAS;CD14;TGFBR2	0.08545964718104145	0.1827886898038942
Th1 and Th2 cell differentiation	NFKBIA;IL2RG	0.09549673840912326	0.20145887280828742
Other glycan degradation	HEXB	0.09699892180024121	0.20186262104374522
IL-17 signaling pathway	NFKBIA;LCN2	0.099010227911688	0.20330100131199935
Glycosaminoglycan degradation	HEXB	0.10210546516485934	0.2068979162551097
Inflammatory mediator regulation of TRP channels	IL1R1;PLCG2	0.1061441138319259	0.2122882276638518
T cell receptor signaling pathway	NFKBIA;PTPRC	0.11709394540604319	0.2311854819555212
Mannose type O-glycan biosynthesis	B4GALT1	0.12224698812022401	0.2383042553229683
